举行, 6
首相, 1
总统, 31
机场, 1
中旬, 2
二十二日, 2
还, 5
递交, 9
报界, 1
提出, 8
内塔尼亚胡, 4
近期, 3
调停人, 2
新闻界, 1
艰难, 8
前来, 1
已经, 1
警告, 3
中东, 5
应, 1
和平, 6
面对面, 5
说, 8
前往, 1
某地, 3
近日, 1
透露, 1
须, 1
次, 8
此次, 1
华盛顿, 11
美国, 22
敦促, 1
机构, 14
之, 2
消息, 1
会晤, 13
记者, 3
促成, 2
当天, 1
安排, 14
下旬, 1
总理, 5
时, 2
分别, 1
宣布, 4
政府, 7
应当, 3
会见, 2
白宫, 5
即将, 2
主席, 21
他们, 5
加快, 2
强调, 1
说服, 1
官员, 2
突尼斯, 2
本月, 4
人, 3
将, 5
讨论, 1
新华社, 1
当晚, 2
欧洲, 3
此, 2
指出, 2
了, 14
巴勒斯坦, 1
解决, 2
傍晚, 2
访, 1
称, 9
会谈, 36
果, 3
作为, 1
２２日, 12
晚间, 1
行将, 1
１４日, 2
希望, 1
昨天, 2
危险, 3
实际, 3
这, 4
国务卿, 3
的, 15
他, 14
方, 1
要, 4
问, 2
领导人, 1
以色列, 9
能够, 1
撤军, 3
访问, 3
有, 2
拖延, 1
商讨, 1
法国, 1
进行, 10
表示, 12
先后, 3
这里, 2
严肃, 1
报道, 1
重, 1
约旦, 1
招待会, 1
行, 2
当日, 1
据悉, 4
也, 7
美, 1
作, 1
终, 3
意义, 2
